step,observation,raw_adjustments,adjusted,reward,death_count
12,"[0, 0, 0, 193.5743149503281, 176.04546391978457, 182.4488458195899]","[-1.0047229484731424, -1.3923438522549256, 2.3970668007280675]","[-1.0047229484731424, -1.3923438522549256, 2.3970668007280675]",3.292976,0
13,"[0, 0, 0, 191.16725062467967, 173.25077869035434, 183.44357124314269]","[3.144588345487812, 0.6794539675173791, -3.82404231300519]","[3.144588345487812, 0.6794539675173791, -3.82404231300519]",2.802769,0
14,"[0, 1, 0, 192.7460952524887, 172.3644889401929, 178.05378521245868]","[4.33745298900415, -3.9660097998628245, -0.3714431891413257]","[4.33745298900415, -3.9660097998628245, -0.3714431891413257]",5.916178,0
15,"[0, 0, 0, 196.51843678236173, 167.94487983965755, 177.11723056418626]","[1.5019743515457589, -3.48673937436947, 1.9847650228237113]","[1.5019743515457589, -3.48673937436947, 1.9847650228237113]",2.796181,0
16,"[0, 0, 1, 196.45247137956176, 162.89020071094234, 177.53405583266425]","[-1.8178659005738336, -0.11185615228175594, 1.9297220528555896]","[-1.8178659005738336, -0.11185615228175594, 1.9297220528555896]",4.200968,0
17,"[0, 0, 0, 194.01305211519679, 162.15679119486944, 177.40785299651665]","[6.046284483134362, -4.669380555106937, -1.3769039280274253]","[6.046284483134362, -4.669380555106937, -1.3769039280274253]",2.796298,0
18,"[0, 0, 0, 198.49143585110548, 155.91950989253684, 174.46304832126359]","[-3.243156407120106, 3.02952502935336, 0.21363137776674557]","[-3.243156407120106, 3.02952502935336, 0.21363137776674557]",2.741316,0
19,"[0, 0, 0, 193.66205139116073, 157.36280686906557, 173.0904516462057]","[0.6884041526323443, -1.7200123983465159, 1.0316082457141715]","[0.6884041526323443, -1.7200123983465159, 1.0316082457141715]",1.966772,0
20,"[0, 0, 0, 192.50604618482288, 153.79838511174884, 172.27765053294968]","[1.4111568566448895, -1.0997699632303297, -0.31138689341455955]","[1.4111568566448895, -1.0997699632303297, -0.31138689341455955]",3.047057,0
21,"[0, 0, 0, 192.43288869485582, 151.21430080190655, 170.48194929292316]","[0.40471519259501587, 0.49360799920995113, -0.8983231918049663]","[0.40471519259501587, 0.49360799920995113, -0.8983231918049663]",2.979414,0
22,"[0, 0, 0, 191.3307417263428, 150.20104664000849, 168.07676394001018]","[3.7251683634200927, 1.2191943874298823, -4.944362750849975]","[3.7251683634200927, 1.2191943874298823, -4.944362750849975]",2.901506,0
23,"[0, 0, 0, 193.52307872939465, 149.88740966707013, 161.59956982879197]","[-0.7214758876794722, 2.8491380474971146, -2.1276621598176426]","[-0.7214758876794722, 2.8491380474971146, -2.1276621598176426]",3.059859,0
24,"[0, 0, 0, 191.3215559487224, 151.25650082157443, 157.99186077598154]","[5.622002503439405, -2.465231249422771, -3.1567712540166344]","[5.622002503439405, -2.465231249422771, -3.1567712540166344]",2.928335,0
25,"[2, 0, 0, 195.41967027628087, 147.26738139627074, 153.31120134608398]","[1.498521701334603, -2.2709302584456554, 0.7724085571110524]","[1.498521701334603, -2.2709302584456554, 0.7724085571110524]",3.024355,0
26,"[0, 0, 0, 193.91595368603652, 144.25974773697126, 153.34690650234123]","[0.5057051103716568, -0.6228881015700378, 0.11718299119838127]","[0.5057051103716568, -0.6228881015700378, 0.11718299119838127]",3.051416,0
27,"[0, 0, 0, 192.9387973404493, 142.15399817944237, 151.98122803758073]","[1.3517307773706344, -0.05572494721349741, -1.2960058301571369]","[1.3517307773706344, -0.05572494721349741, -1.2960058301571369]",3.132827,0
28,"[0, 0, 0, 192.8348037928009, 140.64254890720986, 149.2294978824046]","[-3.079123254983851, 0.3757302342108111, 2.7033930207730394]","[-3.079123254983851, 0.3757302342108111, 2.7033930207730394]",3.450871,0
29,"[0, 0, 0, 188.4059709453433, 139.66856954894695, 150.5831813107039]","[-4.114821397341153, 4.642214489176028, -0.5273930918348753]","[-4.114821397341153, 4.642214489176028, -0.5273930918348753]",3.179062,0
